2026-05-03 23:28:16 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-03 23:28:16 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-03 23:28:17 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-03 23:28:18 | Controller | INFO | controller.py:1299 | [project1-rapidfire-rag-contexteng:Controller] Pipeline 2 completed shard 0 (1 batches, 3.35s)
2026-05-03 23:28:18 | Controller | INFO | controller.py:1422 | [project1-rapidfire-rag-contexteng:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 1 for shard 0 (1 batches)
2026-05-03 23:28:18 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-1] Reusing existing inference engine (config hash: 9924b857)
2026-05-03 23:28:18 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-03 23:28:20 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-05-03 23:28:20 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 23:28:20 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-03 23:28:20 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-03 23:28:20 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-1] Recreated retriever with search_type=mmr
2026-05-03 23:28:20 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-03 23:28:21 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-03 23:28:21 | Controller | INFO | controller.py:1422 | [project1-rapidfire-rag-contexteng:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 2 for shard 0 (1 batches)
2026-05-03 23:28:21 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-2] Initializing new inference engine (config hash: 9924b857)
2026-05-03 23:28:21 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-small-en-v1.5.
